Sl.No.,District _Name,Taluk_Name,Village_Name,Name_of_Monuments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,HASSAN,HASSAN,AMBUGU,PRASANNS CHANNAKESHWARA TEMPLE AND STATUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,HASSAN,HASSAN,GORUR,TRIKUNTESHWARA TEMPLE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,HASSAN,HASSAN,HERAGU,KIRITINARAYANA TEMPLE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,HASSAN,HASSAN,KONDAJJI,VISHNU TEMPLE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,HASSAN,HASSAN,KORAVANGALA,GOVINDESHWARA AND NAKESHWARA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,HASSAN,HASSAN,SHANTIGRAMA,CHANNKESHAVASWAMY TEMPLE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,HASSAN,HASSAN,SHANTIGRAMA,PARSHWANATHA BASADI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,HASSAN,HASSAN,MARKULI,CHANNKESHAVASWAMY TEMPLE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,HASSAN,HASSAN,HONNAVARA,KESHAVA TEMPLE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,HASSAN,HASSAN,HONNAVARA,SOMESWHARA TEMPLE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,HASSAN,HASSAN,MUDIGERE,YOGANARASIMHA TEMPLE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,HASSAN,HASSAN,HOLENARASIPUR,NARASIMHA  TEMPLE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,HASSAN,HASSAN,GOLENAHALLI ,VIRABHADRESWHARA TEMPLE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,HASSAN,HASSAN,RAMANATHPURA ,AGASTESWHARA TEMPLE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,HASSAN,HASSAN,HASSAN,D.C HOUSE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,MYSURU,HEGGADADEVANKOTE,HEGGADADEVANKOTE (RURAL),VARADARAJA TEMPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,MYSURU,HEGGADADEVANKOTE,MATAKERE,RAMESHWARA TEMPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,MYSURU,HUNSUR,BETTADUR, GOMATESHWARA STATUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,MYSURU,HUNSUR,DHARMAPURA,KESHVA TEMPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,MYSURU,KRISHNARAJANAGARA,CHIKKAHANASOGE,ADINATHA BASADI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,MYSURU,KRISHNARAJANAGARA,KRISHNA RAJA NAGARA,ARKESHWARASWAMY TEMPLE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,MYSURU,KRISHNARAJANAGARA,MIRLE,AMRUTHESHWARA TEMPLE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,MYSURU,KRISHNARAJANAGARA,MIRLE,YOGANARASIMHASWAMY TEMPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,MYSURU,KRISHNARAJANAGARA,SALIGRAMA,RAMANUJACHARYA TEMPLE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,MYSURU,MYSURU,CHAMUNDIBETTA ,CHAMUNDESHWARI TEMPLE AND MAHABALESHWARA TEMPLE ON THE HILL.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,MYSURU,MYSURU,LINGAMBUDI ,MAHALINGESWHARA TEMPLE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,MYSURU,MYSURU,MARASE,NARAYANA AND MARALESWHARA TEMPLE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,MYSURU,MYSURU,CHAMUNDIBETTA ,COLOSSAL BULL.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,MYSURU,MYSURU,MYSORE ,WELLINGTON LODGE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,MYSURU,MYSURU,MYSORE PALACE COMPLEX,KODI SOMESHWARA & KODI BHAIRAVESHWARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,MYSURU,MYSURU,MYSORE PALACE COMPLEX,LAKSHMIRAMANA TEMPLE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,MYSURU,MYSURU,MYSORE PALACE COMPLEX,PRASANNA KRISHNASWAMY TEMPLE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,MYSURU,MYSURU,MYSORE PALACE COMPLEX,TRINAYANESHWARA TEMPLE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,MYSURU,MYSURU,MYSORE PALACE COMPLEX,VARAHASWAMY TEMPLE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,MYSURU,MYSURU,VARUNA,MAHALINGESHWARA TEMPLE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,MYSURU,NANJANGUD,HEDATALE,LAKSHMIKANTA TEMPLE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,MYSURU,NANJANGUD,HEDATALE,NAGARESHWARA TEMPLE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,MYSURU,NANJANGUD,KALALE,"LAKSHMIKANTA TEMPLE AND ADJOINING TEMPLES, MANTAPAS AND SANDLE WOOD DOOR ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,MYSURU,NANJANGUD,SUTUR,NARAYANA TEMPLE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,MYSURU,NANJANGUD,SUTTUR,SOMESHWARA TEMPLE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,MYSURU,NANJANGUD,TAGADURU,MULASTHANESHWARA TEMPLE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,MYSURU,PIRIYAPATNA,PERIYAPATNA,CHANNAKESHAVA TEMPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,MYSURU,TIRUMAKUDAL - NARSIPUR,BANNUR,HANUMANTHESHWARA TEMPLE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,MYSURU,TIRUMAKUDAL - NARSIPUR,SOMANATHAPUR,PANCHALINGESWHARA TEMPLE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,MYSURU,TIRUMAKUDAL - NARSIPUR,T NARASEEPURA,AGASTHESHWARA TEMPLE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,MYSURU,TIRUMAKUDAL - NARSIPUR,T NARASEEPURA,GUNJANARAIMHASWAMY TEMPLE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,MYSURU,TIRUMAKUDAL - NARSIPUR,TALKDU,TALAKADU SAND DUNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,UDUPI,UDUPI,UDUPI,"BIRTH PLACE OF SRI MADHWACHARYA, SRI ANANTHA PADMANABHASWAMY TEMPLE, PAJAKA MATTA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,UDUPI,UDUPI,UDUPI,"PARASHU THREERTHA, SRI KRISHNA TEMPLE.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,UDUPI,UDUPI,UDUPI,NAGABHANA.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,UDUPI,UDUPI,INNAJE,DHANUSH THEERTHA.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,UDUPI,UDUPI,KURUKALU,BANA THEERATHA AND ESWHARA TEMPLE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,UDUPI,UDUPI,KURUKALU,DURGA TEMPLE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,UDUPI,UDUPI,KURUKALU,GADHA THEERTHA.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,UDUPI,UDUPI,HOSALA (BARKURU),HANUMANTHA GOPURA.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,UDUPI,UDUPI,PEJAMANGOOR,SURALU PALACE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,KODAGU,MADIKERI,MADIKERI,RAJA’S TOMBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,KODAGU,MADIKERI,YARAKAPADI,NALAKNADU PALACE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,KODAGU,VIRAJAPETE,ARAPATTU,ESWHARA TEMPLE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,DAKSHINA KANNADA,SULYA,KANAJI,DURGA PARAMESHWARI (TRISHULINI ) TEMPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,CHIKKAMAGALURU,CHIKKAMAGALURU,HIREMAGALUR,"ISHWARA, YUPASTHAMBHA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,CHIKKAMAGALURU,CHIKKAMAGALURU,HIREMAGALUR,KODANDA RAMASWAMY TEMPLE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,CHIKKAMAGALURU,CHIKKAMAGALURU,KANDAY,MARKANDESHWARA          TEMPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,CHIKKAMAGALURU,CHIKKAMAGALURU,MARALE,CHANNAKESHWARA TEMPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,CHIKKAMAGALURU,CHIKKAMAGALURU,MARALE,SIDDESHWARA TEMPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,CHIKKAMAGALURU,KADUR,ASANDI,"GANGESHWARA, DHARAMESHWARA, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,CHIKKAMAGALURU,KADUR,ASANDI,"VEERABHADRESHWARA, CHANDIKESHWARASWAMY TEMPLE.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,CHIKKAMAGALURU,KADUR,DEVANUR,LAKSHMIKANTA TEMPLE & LAKSHMISHA MONUMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,CHIKKAMAGALURU,KADUR,HIRENALLUR,SHIVA TEMPLE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,CHIKKAMAGALURU,MUDIGERE,ANGADI,JAIN BASADI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,CHIKKAMAGALURU,MUDIGERE,KALASA,KESHAVA STATUE IN THE RUINED TEMPLE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,CHIKKAMAGALURU,MUDIGERE,KALASA,KALASESHWARA TEMPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,CHIKKAMAGALURU,TARIKERE,BAGGUVALLI,YOGANARASIMHASWAMY TEMPLE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,CHIKKAMAGALURU,TARIKERE,SOMPUR,SOMESHWARA TEMPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,CHAMARAJANAGARA,CHAMARAJANAGARA,CHAMARAJANAGARA[R],CHAMARAJESHWARA TEMPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,CHAMARAJANAGARA,CHAMARAJANAGARA,KANAKAGIRI,KANAKAGIRI BETTADALLIRUVA MONUMENT SAMUCHEYA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,CHAMARAJANAGARA,CHAMARAJANAGARA,NARASAMANGALA,VARADARAJA TEMPLE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,CHAMARAJANAGARA,GUNDLUPET,HANGALA,RAMESHWARA TEMPLE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,CHAMARAJANAGARA,GUNDLUPET,GUNDLUPET,DIWAN POORNAIAH’S RESIDENCE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,CHAMARAJANAGARA,YELANDUR,YELANDUR,DIWAN POORNAIAH’S CHOULTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,CHAMARAJANAGARA,KOLLEGAL,MALAVALLI AND SATTEGALA IN BETWEEN ,LUSHINGTAN BRIDGE (WESLE BRIDGE) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,Kalburgi,Afzalpur,Afzalpur,Mosque and Tomb of Afzalkhan.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Kalburgi,Aland,Aland,Ali Farhad Kahn’s mosque and Inscription And Dargah of H. Shaik Allaudin Ansari.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Kalburgi,Aland,Chunchanasuru,Maheshara Temple ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Kalburgi,Aland,Hodala ,Ramalingeshwara Temple ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,Kalburgi,Aland,Nagai,Nagai remains.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,Kalburgi,Kalburgi,Bahumanipura,Ismail Mokh’s Mosque and Tomb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Kalburgi,Kalburgi,Bahumanipura,Tomb of Allaudin Hassan Gangu Bahamani.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Kalburgi,Kalburgi,Bahumanipura,Tomb of Mohammed Shah-1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Kalburgi,Kalburgi,Dargah Sherrif,Chand Bibi’s Tomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Kalburgi,Kalburgi,Dargah Sherrif,Daragh of Hazarat Khwaja Bande Nawaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,Kalburgi,Kalburgi,Dargah Sherrif,Syed Mohammed Gesu Darz.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,Kalburgi,Kalburgi,Dargah Sherrif,Siddi Ambais Tomb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Kalburgi,Kalburgi,Firozabad,Firozabad Remains.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,Kalburgi,Kalburgi,Kalburgi,Chor Gumbad.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,Kalburgi,Kalburgi,Kalburgi,Old Idgah.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,Kalburgi,Kalburgi,Kalburgi,Shah Bazaar Mosque and Hummam.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,Kalburgi,Kalburgi,Hirapur,Hirapur Mosque and Well.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Kalburgi,Kalburgi,Holkonda,Bahmani Tombs at Holkonda.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Kalburgi,Kalburgi,Lakshmigudda,Neolithic site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,Kalburgi,Kalburgi,N.W. of Gulbarga city,Dargah of Hazrat Shaikh Sirajuddin Junaiedi.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,Kalburgi,Kalburgi,N.W. of Gulbarga city,Langar-ki-masjid.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,Kalburgi,Kalburgi,Near Khwaja Bande Nawaz,"Dargah, Mosque, Sarai of H-Kamal Mujarrad.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,Kalburgi,Kalburgi,West of  Gulbarga City,Qalandar Khan’s Mosque and Tomb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,Kalburgi,Jewargi,Agalgi,Pre-historic site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,Kalburgi,Jewargi,Andol,Pre-historic site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,Kalburgi,Jewargi,Balchotti Halli,Pre-historic site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,Kalburgi,Jewargi,Chammur,Pre-historic site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,Kalburgi,Jewargi,Halmardi,Pre-historic site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,Kalburgi,Jewargi,Helbahavi,Pre-historic site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,Kalburgi,Jewargi,Ijheri,Pre-historic site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,Kalburgi,Jewargi,Kodemathai Hill,Pre-historic site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Kalburgi,Jewargi,Kottur,Pre-historic site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,Kalburgi,Jewargi,Mandevalli,Pre-historic site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,Kalburgi,Jewargi,Taivathivi,Pre-historic site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,Kalburgi,Jewargi,Uppaldivi,Pre-historic site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,Kalburgi,Sedam,Malked,Malked Fort and other remains.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,Kalburgi,Sedam,Sedam,"Panchalinga Temple, monolithic pillar and other remains",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,Kalburgi,Sedam,Moga,Ramalingeshwara Temple (Swayambu Bhu Ramanatha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,Koppal,Gangavati,Agoli,Pre-historic site.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,Koppal,Gangavati,Anegundi,Fort.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,Koppal,Gangavati,Anegundi,Hindu Temple.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,Koppal,Gangavati,Hanamasagar,Balaji’s Temple.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,Koppal,Gangavati,Kanakgiri,Kanakachala Temple and remains of other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,Koppal,Gangavati,Kanakgiri,Mosque.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,Koppal,Gangavati,Karehal,Pre-historic site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
